title,console,genre,publisher,critic_score,us_sales,jp_sales,eu_sales,other_sales,total_sales
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,8.2,2.67,0.04,1.03,0.34,4.08
Carnival Games,Wii,Misc,Global Star Software,4.2,2.12,0.05,1.47,0.42,4.06
Far Cry 4,PS4,Shooter,Ubisoft,8.4,1.18,0.11,2.14,0.63,4.06
Assassin's Creed Origins,PS4,Action,Ubisoft,,1.22,0.11,2.11,0.63,4.06
World Soccer Winning Eleven 9,PS2,Sports,Konami,8.9,0.12,0.9,2.26,0.77,4.06
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,9.1,2.35,0.03,1.27,0.41,4.05
Namco Museum Vol.3,PS,Misc,Namco,,2.28,0.16,1.55,0.06,4.05
Tekken Tag Tournament,PS2,Fighting,Namco,8.7,1.68,0.51,1.51,0.35,4.05
Fallout 3,PS3,Role-Playing,Bethesda Softworks,8.8,2.18,0.07,1.15,0.61,4
The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,9.2,1.18,,2.25,0.56,3.99
NBA 2K16,PS4,Sports,2K Sports,8.7,2.56,0.05,0.66,0.71,3.98
Namco Museum: 50th Anniversary,PS2,Misc,Namco,,2.08,,1.35,0.54,3.98
Far Cry 5,PS4,Action,Ubisoft,7.9,1.44,0.15,1.73,0.62,3.95
Battlefield 4,PS4,Shooter,Electronic Arts,8.3,1.4,0.19,1.74,0.62,3.94
Assassin's Creed IV: Black Flag,PS3,Action-Adventure,Ubisoft,8.7,1.34,0.13,1.86,0.62,3.94
Tony Hawk's Underground,PS2,Sports,Activision,8.7,2.29,0.01,1.17,0.42,3.9
Just Dance 2014,Wii,Music,Ubisoft,7.4,1.91,,1.66,0.33,3.89
Sports Champions,PS3,Sports,Sony Computer Entertainment,7.6,2.15,0.1,1.13,0.5,3.88
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,9.3,0.16,1.12,1.89,0.68,3.85
Namco Museum Vol.1,PS,Misc,Namco,,2.12,0.22,1.44,0.06,3.84
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,7.5,2.4,,1.01,0.36,3.76
The Sims: Unleashed,PC,Simulation,Electronic Arts,7.3,2.03,,1.56,0.17,3.76
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,8.5,1.4,0.1,1.4,0.86,3.75
FIFA 17,XOne,Sports,Electronic Arts,8.8,1.04,,2.4,0.27,3.71
FIFA Soccer 2005,PS2,Sports,EA Sports,8.4,0.58,0.04,2.48,0.59,3.7
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,9.6,2.13,0.01,1.18,0.35,3.67
MySims,DS,Simulation,Electronic Arts,6.7,1.58,0.08,1.6,0.4,3.66
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,7.2,1.65,,1.22,0.79,3.66
SOCOM: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,8,2.53,0.06,0.81,0.24,3.65
Battlefield 4,PS3,Shooter,Electronic Arts,8.7,1.31,0.27,1.5,0.55,3.64
Jak and Daxter: The Precursor Legacy,PS2,Platform,Sony Computer Entertainment,9,2.08,0.15,1.09,0.33,3.64
Pro Evolution Soccer 2008,PS2,Sports,Konami,8.2,0.05,0.64,0,2.93,3.63
FIFA Soccer 10,PS3,Sports,EA Sports,9,0.6,0.05,2.46,0.52,3.63
Guitar Hero: World Tour,Wii,Misc,Activision,8.4,2.32,,0.96,0.34,3.62
The Simpsons: Road Rage,PS2,Racing,Electronic Arts,6.1,2.02,,1.17,0.42,3.61
Star Wars Battlefront,PS2,Shooter,LucasArts,8.1,1.93,0.03,1.22,0.44,3.61
Doom II,PC,Shooter,GT Interactive,9.3,2.05,,1.4,0.16,3.61
Assassin's Creed Syndicate,PS4,Action,Ubisoft,8.6,0.9,0.08,2.06,0.55,3.6
Star Wars Battlefront II,PS2,Shooter,LucasArts,8.5,2.18,0.03,1.02,0.37,3.59
Assassin's Creed: Unity,XOne,Action,Ubisoft,,2.34,0,0.9,0.34,3.58
WWF SmackDown!,PS,Fighting,THQ,,2.01,0.06,1.35,0.16,3.58
Cooking Mama 2: Dinner With Friends,DS,Simulation,Majesco,6.9,1.6,0.1,1.49,0.39,3.58
The Getaway,PS2,Action,Sony Computer Entertainment,7.7,1.23,0.05,1.77,0.49,3.54
